---	---	---	---
兽玉	獸玉	獣玉	Beast Gem
通常弹	通常彈	通常弾	Normal Ammo
贯穿弹	貫通彈	貫通弾	Pierce Ammo
散弹	散彈	散弾	Spread Ammo
穿甲榴弹	徹甲榴彈	徹甲榴弾	Sticky Ammo
扩散弹	擴散彈	拡散弾	Cluster Bomb
火炎弹	火炎彈	火炎弾	Flaming Ammo
水冷弹	水冷彈	水冷弾	Water Ammo
电击弹	電擊彈	電撃弾	Thunder Ammo
冰结弹	冰結彈	氷結弾	Freeze Ammo
灭龙弹	滅龍彈	滅龍弾	Dragon Ammo
毒弹	毒彈	毒弾	Poison Ammo
麻痹弹	麻痺彈	麻痺弾	Paralysis Ammo
睡眠弹	睡眠彈	睡眠弾	Sleep Ammo
斩裂弹	斬裂彈	斬裂弾	Slicing Ammo
铁矿石	鐵礦石	鉄鉱石	Iron Ore
燕雀石	燕雀石	マカライト鉱石	Machalite Ore
辉龙石	輝龍石	ドラグライト鉱石	Dragonite Ore
灵鹤石	靈鶴石	カブレライト鉱石	Carbalite Ore
大地结晶	大地結晶	大地の結晶	Earth Crystal
谜之骨	謎樣的骨	なぞの骨	Mystery Bone
硬质骨头	硬質骨頭	頑丈な骨	Sturdy Bone
兽骨	獸骨	獣骨	Brute Bone
粗兽骨	粗獸骨	太い獣骨	Colossal Bone
古老龙骨	古老龍骨	いにしえの龍骨	Dragonbone Relic
沙海龙的甲壳	沙海龍的甲殼	沙海竜の甲殻	Balahara Shell
沙海龙的鳞	沙海龍的鱗	沙海竜の鱗	Balahara Scale
沙海龙的头壳	沙海龍的頭殼	沙海竜の頭殻	Balahara Skull
沙海龙的尾巴	沙海龍的尾巴	沙海竜の尻尾	Balahara Tail
沙海龙的黑珍珠	沙海龍的黑珍珠	沙海竜の黒真珠	Balahara Black Pearl
缠蛙的颚	纏蛙的下顎	纏蛙の顎	Chatacabra Jaw
缠蛙的皮	纏蛙的皮	纏蛙の皮	Chatacabra Hide
缠蛙的缠甲	纏蛙的纏甲	纏蛙の纏甲	Chatacabra Shell
缠蛙的鳞	纏蛙的鱗	纏蛙の鱗	Chatacabra Scale
炎尾龙的鳞	炎尾龍的鱗	炎尾竜の鱗	Quematrice Scale
炎尾龙的皮	炎尾龍的皮	炎尾竜の皮	Quematrice Hide
炎尾龙的头冠	炎尾龍的頭冠	炎尾竜のトサカ	Quematrice Crest
炎尾龙的尾巴	炎尾龍的尾巴	炎尾竜の尻尾	Quematrice Tail
龙玉	龍玉	竜玉	Wyvern Gem
护龙的毛皮	護龍的毛皮	護竜の毛皮	Guardian Pelt
护龙的上等毛皮	護龍的上毛皮	護竜の上毛皮	Guardian Pelt+
草食种的甲壳	草食種的甲殼	草食種の甲殻	Herbivore Shell
血盗虫的甲壳	血刺蟲的甲殼	ブブラチカの甲殻	Bulaqchi Shell
钳速龙的鳞	銳猛龍的鱗片	タリオスの鱗	Talioth Scale
尖牙	尖牙	とがった牙	Sharp Fang
翼龙的皮	翼龍的皮	翼竜の皮	Wingdrake Hide
锐利的牙	銳利的牙	鋭利な牙	Acute Fang
怪物的粪	魔物的糞	モンスターのフン	Dung
近战瓶	接擊瓶	接撃ビン	Close-range Coating
强击瓶	強擊瓶	強撃ビン	Power Coating
贯穿瓶	貫通瓶	貫通ビン	Pierce Coating
麻痹瓶	麻痺瓶	麻痺ビン	Paralysis Coating
毒瓶	毒瓶	毒ビン	Poison Coating
睡眠瓶	睡眠瓶	睡眠ビン	Sleep Coating
爆破瓶	爆破瓶	爆破ビン	Blast Coating
减气瓶	減氣瓶	減気ビン	Exhaust Coating
滚成球的粪	滾動過的糞	ころがされたフン	Rolled-up Dung
雌火龙的上等鳞	雌火龍的上鱗	雌火竜の上鱗	Rathian Scale+
雌火龙的坚壳	雌火龍的堅殼	雌火竜の堅殻	Rathian Carapace
雌火龙的翼膜	雌火龍的翼膜	雌火竜の翼膜	Rathian Webbing
雌火龙的上等棘	雌火龍的上棘	雌火竜の上棘	Rathian Spike+
雌火龙的红玉	雌火龍的紅玉	雌火竜の紅玉	Rathian Ruby
毒菇	毒菇	毒テングダケ	Toadstool
麻痹菇	麻痺菇	マヒダケ	Parashroom
眠草	眠草	ネムリ草	Sleep Herb
火药草	火藥草	火薬草	Fire Herb
流水草	流水草	流水草	Flowfern
霜降草	霜降草	霜ふり草	Snow Herb
屠龙果实	屠龍果實	龍殺しの実	Dragonfell Berry
应急药	應急藥	応急薬	First-aid Med
补给专用携带食料	補給專用隨身食物	支給用携帯食料	EZ Ration
补给专用闪光弹	補給專用閃光彈	支給用閃光弾	EZ Flash Bomb
补给专用麻痹陷阱	補給專用麻痺陷阱	支給用シビレ罠	EZ Shock Trap
补给专用落穴陷阱	補給專用地洞	支給用落とし穴	EZ Pitfall Trap
落阳草的花	落陽草之花	落陽草の花	Gloamgrass Bud
怪力种子	怪力種子	怪力の種	Might Seed
忍耐种子	忍耐種子	忍耐の種	Adamant Seed
硝化伞菇	爆炸菇	ニトロダケ	Nitroshroom
鬼硝化伞菇	鬼爆炸菇	鬼ニトロダケ	Devil's Blight
爆裂果实	爆裂果實	バクレツの実	Blastnut
斩裂果实	斬裂果實	ザンレツの実	Slashberry
煌雷龙的鳞	煌雷龍的鱗片	煌雷竜の鱗	Rey Dau Scale
煌雷龙的甲壳	煌雷龍的甲殼	煌雷竜の甲殻	Rey Dau Shell
煌雷龙的电角	煌雷龍的電角	煌雷竜の電角	Rey Dau Thunderhorn
煌雷龙的雷晶爪	煌雷龍的雷晶爪	煌雷竜の雷晶爪	Rey Dau Wingtalon
煌雷龙的尾巴	煌雷龍的尾巴	煌雷竜の尻尾	Rey Dau Tail
煌雷龙的逆鳞	煌雷龍的逆鱗	煌雷竜の逆鱗	Rey Dau Plate
捕获用麻醉飞刀	捕獲用麻醉飛刀	捕獲用麻酔投げナイフ	Tranq Blade
烟雾球	煙霧球	けむり玉	Smoke Bomb
力量之护符	力量之護符	力の護符	Powercharm
守护之护符	守護之護符	守りの護符	Armorcharm
龙击弹	龍擊彈	竜撃弾	Wyvern Ammo
投射器引雷弹	投射器吸雷彈	スリンガー吸雷弾	Grounding Pod
谜之宝珠·铠	謎樣的寶珠・鎧	なぞの珠・鎧	Mystery Orb - Armor
发光宝珠·铠	發光寶珠・鎧	光る珠・鎧	Glowing Orb - Armor
老旧宝珠·铠	老舊寶珠・鎧	古びた珠・鎧	Ancient Orb - Armor
老旧武器碎片·刃	老舊武器碎片・刃	古びた武器片・刃	Old Weapon Shard - Blade
受损的武器碎片	受損的武器碎片	傷ついた武器片	Damaged Weapon Shard
生锈的武器碎片	生鏽的武器碎片	さびた武器片	Rusted Weapon Shard
隐身衣装	隱身衣裝	隠れ身の装衣	Ghillie Mantle
钓竿	釣竿	釣り竿	Fishing Rod
通用木制鲦鱼饵	通用木製鰷擬餌	汎用ウッドミノー	Common Wood Minnow
黄金虫头	黃金蟲頭	黄金バグヘッド	Golden Bughead
祖母绿拟饵	綠寶石擬餌	エメラルドチャター	Emerald Jitterbait
联装大拟饵	多節大擬餌	ジョイントドスベイト	Tuff Joint Bait
星屑鱼拟饵	星屑魚擬餌	イクチスリグ	Duster Rig
触手拟饵	觸手餌木	テンタクルエギ	Tentacle Jig
元气饮料	元氣飲料	元気ドリンコ	Energy Drink
强走药	強走藥	強走薬	Dash Juice
活力剂	活力劑	活力剤	Immunizer
冷饮	冷飲	クーラードリンク	Cool Drink
热饮	熱飲	ホットドリンク	Hot Drink
鬼人药	鬼人藥	鬼人薬	Demondrug
怪力药丸	怪力藥丸	怪力の丸薬	Might Pill
鬼人药G	鬼人藥・大	鬼人薬グレート	Mega Demondrug
硬化药	硬化藥	硬化薬	Armorskin
忍耐药丸	忍耐藥丸	忍耐の丸薬	Adamant Pill
硬化药G	硬化藥・大	硬化薬グレート	Mega Armorskin
汉方药	漢方藥	漢方薬	Herbal Medicine
汉方粉尘	漢方粉塵	漢方の粉塵	Herbal Powder
鬼人粉尘	鬼人粉塵	鬼人の粉塵	Demon Powder
硬化粉尘	硬化粉塵	硬化の粉塵	Hardshell Powder
生命大粉尘	生命大粉塵	生命の大粉塵	Dust of Life
消散剂	消散劑	消散剤	Cleanser
毒烟雾球	毒煙霧球	毒けむり玉	Poison Smoke Bomb
捕获用麻醉球	捕獲用麻醉球	捕獲用麻酔玉	Tranq Bomb
飞刀	飛刀	投げナイフ	Throwing Knife
投射器毒弹	投射器毒彈	スリンガー毒弾	Poison Pod
投射器麻痹弹	投射器麻痺彈	スリンガー麻痺弾	Para Pod
睡眠生肉	睡眠生肉	眠り生肉	Drugged Meat
光苔	光苔	ヒカリゴケ	Brightmoss
投射器火炎弹	投射器火炎彈	スリンガー火炎弾	Torch Pod
投射器水流弹	投射器水流彈	スリンガー水流弾	Puddle Pod
投射器爆炸弹	投射器爆發彈	スリンガー爆発弾	Bomb Pod
投射器贯穿弹	投射器貫通彈	スリンガー貫通弾	Piercing Pod
投射器染色弹	投射器染色彈	スリンガーペイント弾	Paint Pod
投射器诱导弹	投射器誘導彈	スリンガー誘導弾	Luring Pod
大桶爆弹G	大爆彈桶G	大タル爆弾Ｇ	Mega Barrel Bomb
应急药G	應急藥・大	応急薬グレート	First-aid Med+
补给专用秘药	補給專用秘藥	支給用秘薬	EZ Max Potion
补给专用生命粉尘	補給專用生命粉塵	支給用生命の粉塵	EZ Lifepowder
补给专用汉方粉尘	補給專用漢方粉塵	支給用漢方の粉塵	EZ Herbal Powder
补给专用鬼人粉尘	補給專用鬼人粉塵	支給用鬼人の粉塵	EZ Demon Powder
补给专用硬化粉尘	補給專用硬化粉塵	支給用硬化の粉塵	EZ Hardshell Powder
补给专用生命大粉尘	補給專用生命大粉塵	支給用生命の大粉塵	EZ Dust of Life
补给专用麻醉球	補給專用麻醉球	支給用麻酔玉	EZ Tranq Bomb
补给专用异臭弹	補給專用異臭彈	支給用こやし弾	EZ Dung Pod
补给专用音爆弹	補給專用音爆彈	支給用音爆弾	EZ Sonic Bomb
麻痹生肉	麻痺生肉	シビレ生肉	Tinged Meat
补给专用大桶爆弹	補給專用大爆彈桶	支給用大タル爆弾	EZ Large Barrel Bomb
补给专用回归球	補給專用回歸球	支給用モドリ玉	EZ Farcaster
毒生肉	毒生肉	毒生肉	Poisoned Meat
除臭球	除臭球	消臭玉	Deodorant
库纳法奶酪	庫納法起司	クナファチーズ	Kunafa Cheese
浓郁库纳法奶酪	濃郁庫納法起司	濃厚クナファチーズ	Sharp Kunafa Cheese
垂涎蘑菇	垂涎蘑菇	ヨダレダケ	Droolshroom
盛宴蘑菇	盛宴蘑菇	ゴチソウダケ	Delishroom
泥虾	油泥蝦	マッドシュリンプ	Mud Shrimp
大泥虾	油泥蝦王	ドスマッドシュリンプ	Turbid Shrimp
绵绵蛋	柔柔蛋	フワフワ卵	Fluffy Egg
柔柔绵绵蛋	綿綿蛋	フワンフワン卵	Airy Egg
西尔德大蒜	希爾德大蒜	シルドニンニク	Sild Garlic
特级西尔德大蒜	特級希爾德大蒜	シルドニンニク・特秀	Specialty Sild Garlic
狂野香草	狂野香草	ワイルドハーブ	Wild Herb
东部蜂蜜	東方蜂蜜	イーストハニー	Eastern Honey
怪物辣椒	魔物辣椒	モンスターチリ	Monster Chili
宝石乌鱼子	寶石烏魚子	ジュエルカラスミ	Jeweled Mullet Roe
野生植物籽油	野生種子油	ワイルドシードオイル	Wild Seed Oil
桃毛兽王松露	桃毛獸王松露	トリュフ・ド・コンガ	Truffle Du Conga
不祥的布	災禍之布	禍々しい布	Sinister Cloth
大角凤蝶	大角鳳蝶	オオツノアゲハ	Great Hornfly
天堑芦荟	天塹蘆薈	ヘダテアロエ	Windward Aloe
优质天堑芦荟	優質天塹蘆薈	上質なヘダテアロエ	Fine Windward Aloe
天堑芦荟王	珍寶天塹蘆薈	ドスヘダテアロエ	Great Windward Aloe
沙胡椒果实	沙胡椒果實	沙胡椒の実	Sandpepper
优质沙胡椒果实	優質沙胡椒果實	上質な沙胡椒の実	Fiery Sandpepper
苍雷晶碎片	蒼雷晶碎片	蒼雷晶のかけら	Fulgurite Shard
优质苍雷晶	優質蒼雷晶	上質な蒼雷晶	Pure Fulgurite
轰天苍雷晶	轟鳴蒼雷晶	轟天蒼雷晶	Thundering Fulgurite
绯琥珀碎片	緋琥珀碎片	緋琥珀のかけら	Scarlet Amber Shard
优质绯琥珀	優質緋琥珀	上質な緋琥珀	Fine Scarlet Amber
悠久的大绯琥珀	悠久的大緋琥珀	悠久の大緋琥珀	Eternal Scarlet Amber
女王花的蛊惑粉	女王花的蠱惑粉	女王華の蠱惑粉	Queensbloom Pollen
亮亮的宝物	亮晶晶寶物	ツヤツヤのオタカラ	Shiny Treasure
闪闪的宝物	閃亮亮寶物	キラキラのオタカラ	Sparkly Treasure
大大的宝物	沉甸甸寶物	デカデカのオタカラ	Bulky Treasure
黄金油	黃金油	黄金オイル	Auric Oil
锑石	銻石	アンティマ石	Antimite
优质锑石	優質銻石	上質なアンティマ石	Fine Antimite
锑岩	銻岩	アンティマター	Antimite Mass
风铗龙的旧壳	風鋏龍的褪殼	風鋏竜の抜け殻	Hirabami Molting
龙鳞装饰壶	龍鱗裝飾壺	竜鱗の飾りツボ	Wyvernscale Vase
逆鳞装饰壶	逆鱗裝飾壺	逆鱗の飾りツボ	Dragonscale Vase
金色龙鳞重饰大壶	金色龍鱗重飾大壺	金色竜鱗重飾大壺	Large Goldenscale Vase
龙都酸浆	龍都鬼燈	リュウトホオズキ	Wyveria Lantern
成熟龙都酸浆	成熟龍都鬼燈	超熟リュウトホオズキ	Mature Wyveria Lantern
源流隆炉球	起源龍儒球	源流のリュウヌ玉	Origin Wylk Gem
乳白茧丝	乳白繭絲	乳白の繭糸	Milky Cocoon Web
隆炉石子	龍儒小石	リュウヌ小石	Wylk Pebble
隆炉球石	龍儒球石	リュウヌ玉石	Wylk Gem
历久大隆炉球	歷久大龍儒球	暦年の大リュウヌ玉	Time-honed Wylk Gem
古老化石骨	古老化石骨	いにしえの化石骨	Ancient Fossil
流水壶海鞘	流水壺海鞘	ナガレツボボヤ	Drifting Sea Pot
皇家壶海鞘	皇家壺海鞘	ロイヤルツボボヤ	Royal Sea Pot
酒杯藻	酒杯藻	グラスウィード	Gobletweed
大酒杯藻	觥籌藻	グラングラスウィード	Chaliceweed
一夜花的月华粉	一夜花的月華粉	一夜花の月華粉	Nightflower Pollen
蛋白石化石	化石蛋白石	化石のオパール	Fossilized Opal
艳色蛋白石化石	艷色化石蛋白石	化石の美色オパール	Fossilized Fire Opal
创世蛋白石	創世蛋白石	ジェネシスオパール	Genesis Opal
冬龙夏草	冬龍夏草	冬竜夏草	Wyvernsprout
坚硬竹荚鱼的鳍	堅硬竹筴魚的鰭	キレアジのヒレ	Whetfish Fin
坚硬竹荚鱼的上等鳍	堅硬竹筴魚的上鰭	キレアジの上ヒレ	Whetfish Fin+
刺身鱼鳞片	刺身魚鱗片	サシミウロコ	Sushifish Scale
大刺身鱼鳞片	大刺身魚鱗片	大サシミウロコ	Great Sushifish Scale
刺花蜘蛛的甲壳	刺花蜘蛛的甲殼	刺花蜘蛛の甲殻	Lala Barina Shell
刺花蜘蛛的爪	刺花蜘蛛的爪	刺花蜘蛛の爪	Lala Barina Claw
刺花蜘蛛的尾棘	刺花蜘蛛的尾棘	刺花蜘蛛の尾棘	Lala Barina Stinger
刺花蜘蛛狩猎证	刺花蜘蛛狩獵證	刺花蜘蛛の狩猟証	Lala Barina Certificate
刺花蜘蛛的绒毛	刺花蜘蛛的絨毛	刺花蜘蛛の綿毛	Lala Barina Floret
投射器音爆弹	投射器音爆彈	スリンガー音爆弾	Screamer Pod
盔速龙黄铜	盔猛龍黃銅	クラノコッパー	Krano Copper
优质盔速龙黄铜	優質盔猛龍黃銅	クラノコパゴット	Krano Pyrite
投射器雷光弹	投射器雷光彈	スリンガー雷光弾	Thunder Pod
投射器冰霜弹	投射器冰霜彈	スリンガー氷霜弾	Frost Pod
投射器灭龙弹	投射器滅龍彈	スリンガー滅龍弾	Dragon Pod
新鲜蜂蜜	鮮採蜂蜜	採れたてのハチミツ	Fresh Honey
投射器爆裂冰弹	投射器爆裂冰彈	スリンガーハジケ氷弾	Frostburst
龙击果实	龍擊果實	リュウゲキの実	Dragonstrike Nut
扩散果实	擴散果實	カクサンの実	Bomberry
缠蛙狩猎证	纏蛙狩獵證	纏蛙の狩猟証	Chatacabra Certificate
缠蛙的上等鳞	纏蛙的上鱗	纏蛙の上鱗	Chatacabra Scale+
缠蛙的大颚	纏蛙的大顎	纏蛙の大顎	Chatacabra Jaw+
缠蛙的上等皮	纏蛙的上皮	纏蛙の上皮	Chatacabra Hide+
缠蛙的坚缠甲	纏蛙的堅纏甲	纏蛙の堅纏甲	Chatacabra Carapace
缠蛙狩猎证 S	纏蛙狩獵證S	纏蛙の狩猟証Ｓ	Chatacabra Certificate S
炎尾龙的引火液	炎尾龍的引火液	炎尾竜の引火液	Quematrice Igniter
炎尾龙狩猎证	炎尾龍狩獵證	炎尾竜の狩猟証	Quematrice Certificate
炎尾龙的上等鳞	炎尾龍的上鱗	炎尾竜の上鱗	Quematrice Scale+
炎尾龙的上等皮	炎尾龍的上皮	炎尾竜の上皮	Quematrice Hide+
炎尾龙的浓引火液	炎尾龍的引火濃液	炎尾竜の引火濃液	Quematrice Igniter+
炎尾龙的大头冠	炎尾龍的大頭冠	炎尾竜の大トサカ	Quematrice Crest+
炎尾龙狩猎证 S	炎尾龍狩獵證S	炎尾竜の狩猟証Ｓ	Quematrice Certificate S
刺花蜘蛛的上等绒毛	刺花蜘蛛的上絨毛	刺花蜘蛛の上綿毛	Lala Barina Floret+
刺花蜘蛛的坚壳	刺花蜘蛛的堅殼	刺花蜘蛛の堅殻	Lala Barina Carapace
刺花蜘蛛的锐爪	刺花蜘蛛的銳爪	刺花蜘蛛の鋭爪	Lala Barina Claw+
刺花蜘蛛的上等尾棘	刺花蜘蛛的上尾棘	刺花蜘蛛の上尾棘	Lala Barina Stinger+
刺花蜘蛛狩猎证 S	刺花蜘蛛狩獵證S	刺花蜘蛛の狩猟証Ｓ	Lala Barina Certificate S
沙海龙狩猎证	沙海龍狩獵證	沙海竜の狩猟証	Balahara Certificate
沙海龙的上等鳞	沙海龍的上鱗	沙海竜の上鱗	Balahara Scale+
沙海龙的坚壳	沙海龍的堅殼	沙海竜の堅殻	Balahara Carapace
沙海龙的尖头壳	沙海龍的尖頭殼	沙海竜の尖頭殻	Balahara Skull+
沙海龙狩猎证 S	沙海龍狩獵證S	沙海竜の狩猟証Ｓ	Balahara Certificate S
辟兽狩猎证	闢獸狩獵證	闢獣の狩猟証	Doshaguma Certificate
辟兽的刚毛	闢獸的剛毛	闢獣の剛毛	Doshaguma Fur+
辟兽的上等皮	闢獸的上皮	闢獣の上皮	Doshaguma Hide+
辟兽的锐爪	闢獸的銳爪	闢獣の鋭爪	Doshaguma Claw+
辟兽的锐牙	闢獸的銳牙	闢獣の鋭牙	Doshaguma Fang+
辟兽狩猎证 S	闢獸狩獵證S	闢獣の狩猟証Ｓ	Doshaguma Certificate S
波衣龙的鳞	波衣龍的鱗	波衣竜の鱗	Uth Duna Scale
波衣龙的皮	波衣龍的皮	波衣竜の皮	Uth Duna Hide
波衣龙的纤毛	波衣龍的纖毛	波衣竜の繊毛	Uth Duna Cilia
波衣龙的触手	波衣龍的觸手	波衣竜の触手	Uth Duna Tentacle
波衣龙的爪	波衣龍的爪	波衣竜の爪	Uth Duna Claw
波衣龙的逆鳞	波衣龍的逆鱗	波衣竜の逆鱗	Uth Duna Plate
波衣龙狩猎证	波衣龍狩獵證	波衣竜の狩猟証	Uth Duna Certificate
波衣龙的上等鳞	波衣龍的上鱗	波衣竜の上鱗	Uth Duna Scale+
波衣龙的上等皮	波衣龍的上皮	波衣竜の上皮	Uth Duna Hide+
波衣龙的上等纤毛	波衣龍的上纖毛	波衣竜の上繊毛	Uth Duna Cilia+
波衣龙的艳触手	波衣龍的豔觸手	波衣竜の艶触手	Uth Duna Tentacle+
波衣龙的锐爪	波衣龍的銳爪	波衣竜の鋭爪	Uth Duna Claw+
波衣龙的水玉	波衣龍的水玉	波衣竜の水玉	Uth Duna Watergem
波衣龙狩猎证 S	波衣龍狩獵證S	波衣竜の狩猟証Ｓ	Uth Duna Certificate S
沼喷龙的皮	沼噴龍的皮	沼噴竜の皮	Rompopolo Hide
沼喷龙的爪	沼噴龍的爪	沼噴竜の爪	Rompopolo Claw
斑斓的毒皮	斑斕的毒皮	まだらの毒皮	Spotted Poison Hide
沼喷龙的喙	沼噴龍的喙	沼噴竜のクチバシ	Rompopolo Beak
沼喷龙狩猎证	沼噴龍狩獵證	沼噴竜の狩猟証	Rompopolo Certificate
沼喷龙的上等皮	沼噴龍的上皮	沼噴竜の上皮	Rompopolo Hide+
沼喷龙的锐爪	沼噴龍的銳爪	沼噴竜の鋭爪	Rompopolo Claw+
斑斓的猛毒皮	斑斕的猛毒皮	まだらの猛毒皮	Spotted Poison Hide+
沼喷龙的大喙	沼噴龍的大喙	沼噴竜の大クチバシ	Rompopolo Beak+
沼喷龙狩猎证 S	沼噴龍狩獵證S	沼噴竜の狩猟証Ｓ	Rompopolo Certificate S
煌雷龙狩猎证	煌雷龍狩獵證	煌雷竜の狩猟証	Rey Dau Certificate
煌雷龙的上等鳞	煌雷龍的上鱗	煌雷竜の上鱗	Rey Dau Scale+
煌雷龙的坚壳	煌雷龍的堅殼	煌雷竜の堅殻	Rey Dau Carapace
煌雷龙的雷电角	煌雷龍的雷電角	煌雷竜の雷電角	Rey Dau Bolthorn
煌雷龙的苍雷晶爪	煌雷龍的蒼雷晶爪	煌雷竜の蒼雷晶爪	Rey Dau Fulgurtalon
煌雷龙的雷玉	煌雷龍的雷玉	煌雷竜の雷玉	Rey Dau Boltgem
煌雷龙狩猎证 S	煌雷龍狩獵證S	煌雷竜の狩猟証Ｓ	Rey Dau Certificate S
风铗龙的鳞	風鋏龍的鱗	風鋏竜の鱗	Hirabami Scale
风铗龙的皮	風鋏龍的皮	風鋏竜の皮	Hirabami Hide
风铗龙的飞膜	風鋏龍的飛膜	風鋏竜の飛膜	Hirabami Webbing
风铗龙的尾爪	風鋏龍的尾爪	風鋏竜の尾爪	Hirabami Tail Claw
风铗龙狩猎证	風鋏龍狩獵證	風鋏竜の狩猟証	Hirabami Certificate
风铗龙的上等鳞	風鋏龍的上鱗	風鋏竜の上鱗	Hirabami Scale+
风铗龙的上等皮	風鋏龍的上皮	風鋏竜の上皮	Hirabami Hide+
风铗龙的上等飞膜	風鋏龍的上飛膜	風鋏竜の上飛膜	Hirabami Webbing+
风铗龙的上等尾爪	風鋏龍的上尾爪	風鋏竜の上尾爪	Hirabami Tail Claw+
风铗龙狩猎证 S	風鋏龍狩獵證S	風鋏竜の狩猟証Ｓ	Hirabami Certificate S
赫猿兽的鳞	赫猿獸的鱗	赫猿獣の鱗	Ajarakan Scale
赫猿兽的甲壳	赫猿獸的甲殼	赫猿獣の甲殻	Ajarakan Shell
赫猿兽的背甲	赫猿獸的背甲	赫猿獣の背甲	Ajarakan Ridge
赫猿兽的尾巴	赫猿獸的尾巴	赫猿獣の尻尾	Ajarakan Tail
赫炎结晶	赫炎結晶	赫炎結晶	Ajarakan Jewel
赫猿兽的骨髓	赫猿獸的骨髓	赫猿獣の骨髄	Ajarakan Marrow
赫猿兽狩猎证	赫猿獸狩獵證	赫猿獣の狩猟証	Ajarakan Certificate
赫猿兽的上等鳞	赫猿獸的上鱗	赫猿獣の上鱗	Ajarakan Scale+
赫猿兽的坚壳	赫猿獸的堅殼	赫猿獣の堅殻	Ajarakan Carapace
赫猿兽的坚甲	赫猿獸的堅甲	赫猿獣の堅甲	Ajarakan Ridge+
大赫炎结晶	大赫炎結晶	大赫炎結晶	Ajarakan Jewel+
赫猿兽的延髓	赫猿獸的延髓	赫猿獣の延髄	Ajarakan Medulla
赫猿兽狩猎证 S	赫猿獸狩獵證S	赫猿獣の狩猟証Ｓ	Ajarakan Certificate S
狱焰蛸的皮	獄焰鱆的皮	獄焔蛸の皮	Nu Udra Hide
狱焰蛸的棘	獄焰鱆的棘	獄焔蛸の棘	Nu Udra Spike
狱焰蛸的角	獄焰鱆的角	獄焔蛸の角	Nu Udra Horn
狱焰蛸的触手	獄焰鱆的觸手	獄焔蛸の触手	Nu Udra Tentacle
狱焰蛸的油膜	獄焰鱆的油膜	獄焔蛸の油膜	Nu Udra Oilmucus
狱焰蛸的髓液	獄焰鱆的髓液	獄焔蛸の髄液	Nu Udra Cerebrospinal Fluid
狱焰蛸狩猎证	獄焰鱆狩獵證	獄焔蛸の狩猟証	Nu Udra Certificate
狱焰蛸的上等皮	獄焰鱆的上皮	獄焔蛸の上皮	Nu Udra Hide+
狱焰蛸的上等棘	獄焰鱆的上棘	獄焔蛸の上棘	Nu Udra Spike+
狱焰蛸的尖角	獄焰鱆的尖角	獄焔蛸の尖角	Nu Udra Horn+
狱焰蛸的暴触手	獄焰鱆的暴觸手	獄焔蛸の暴触手	Nu Udra Tentacle+
