雌火龙	雌火龍	リオレイア	Rathian
狱焰蛸	獄焰鱆	ヌ・エグドラ	Nu Udra
狱焰蛸（历战个体）	獄焰鱆（歷戰個體）	ヌ・エグドラ（歴戦の個体）	Tempered Nu Udra
赫猿兽	赫猿獸	アジャラカン	Ajarakan
赫猿兽（历战个体）	赫猿獸（歷戰個體）	アジャラカン（歴戦の個体）	Tempered Ajarakan
锁刃龙	鎖刃龍	アルシュベルド	Arkveld
锁刃龙（历战个体）	鎖刃龍（歷戰個體）	アルシュベルド（歴戦の個体）	Tempered Arkveld
护锁刃龙	護鎖刃龍	護竜アルシュベルド	Guardian Arkveld
风铗龙	風鋏龍	ヒラバミ	Hirabami
风铗龙（历战个体）	風鋏龍（歷戰個體）	ヒラバミ（歴戦の個体）	Tempered Hirabami
狂龙化风铗龙	狂龍化風鋏龍	狂竜化ヒラバミ	Frenzied Hirabami
冻峰龙	凍峰龍	ジン・ダハド	Jin Dahaad
冻峰龙（历战个体）	凍峰龍（歷戰個體）	ジン・ダハド（歴戦の個体）	Tempered Jin Dahaad
暗器蛸	暗器鱆	シーウー	Xu Wu
暗器蛸（历战个体）	暗器鱆（歷戰個體）	シーウー（歴戦の個体）	Tempered Xu Wu
白炽龙	白熾龍	ゾ・シア	Zoh Shia
巨蜂	巨蜂	ランゴスタ	Vespoid
桃毛兽	桃毛獸	コンガ	Conga
雪狮子	雪獅子	ブランゴ	Blango
雷甲龙♂	雷甲龍♂	ケラトノス♂	Ceratonoth (Male)
雷甲龙	雷甲龍	ケラトノス	Ceratonoth
雷甲龙♀	雷甲龍♀	ケラトノス♀	Ceratonoth (Female)
盾突龙	盾突龍	ダルトドン	Dalthydon
盾突龙（家畜种）	盾突龍（家畜種）	ダルトドン（家畜種）	Dalthydon (Livestock)
血盗虫	血刺蟲	ブブラチカ	Bulaqchi
钳速龙	銳猛龍	タリオス	Talioth
爆翼龙	音翅龍	バオノス	Baunos
棘吻龙	鋸吻龍	ガジオス	Gajios
锯带龙	棘鰭龍	ピラギル	Piragill
刺枪翼龙	銛刺龍	ハルプス	Harpios
盔速龙	盔猛龍	クラノダス	Kranodath
血眠虫	眠刺蟲	ネマラチカ	Comaqchi
胶鲵	膠鯢	ゼレドロン	Gelidron
电角兽（首领）	電角獸（頭領）	ラフマー（ボス個体）	Alpha Rafma
电角兽	電角獸	ラフマー	Rafma
箭羽龙	箭羽獸	ポルケピナ	Porkeplume
稚影蜘蛛	稚影蜘蛛	ネルスキュラベビー	Nerscylla Hatchling
护鹭鹰龙	護鷺鷹龍	護竜セクレト	Guardian Seikret
麻痹瓦斯蛙	麻痺瓦斯蛙	シビレガスガエル	Paratoad
爆炸瓦斯蛙	爆炸瓦斯蛙	ニトロガスガエル	Nitrotoad
睡眠瓦斯蛙	睡眠瓦斯蛙	ネムリガスガエル	Sleeptoad
回复蜜虫	回復蜜蟲	回復ミツムシ	Vigorwasp
净化蜜虫	淨化蜜蟲	浄化ミツムシ	Purewasp
大回复蜜虫	大回復蜜蟲	大回復ミツムシ	Giant Vigorwasp
闪光翅虫	閃光翅蟲	閃光羽虫	Flashflies
粪金龟	糞金龜	フンコロガシ	Dung Beetle
爆弹甲虫	爆彈甲蟲	バクダンイワコロガシ	Bomb Beetle
雪球虫	雪球蟲	ユキダマコガネ	Rime Beetle
回复蓑衣虫	回復蓑衣蟲	カイフクコロモムシ	Vigormantle Bug
冰冷蓑衣虫	冰冷蓑衣蟲	ヒンヤリコロモムシ	Chillmantle Bug
温暖蓑衣虫	溫熱蓑衣蟲	ホカホカコロモムシ	Heatmantle Bug
耐力雷虫	耐力雷蟲	スタミナライチュウ	Wiggly Litchi
照暗蜂	照黑蜂	ヤミテラシバチ	Dark Hornet
大雷光虫	大雷光蟲	大雷光虫	Great Thunderbugs
楔虫	楔蟲	楔虫	Wedge Beetle
雷光虫	雷光蟲	雷光虫	Thunderbug
光虫	光蟲	光蟲	Flashbug
不死虫	不死蟲	不死虫	Godbug
苦虫	苦蟲	にが虫	Bitterbug
搬叶蚁	森林搬運蟻	コノハコビアリ	Leaflugger Ant
风切龙	風切龍	カザキリカケリ	Windrustler
黑风切龙	黑風切龍	クロカゼカケリ	Black Windrustler
沙地龙椋鸟	沙地龍椋鳥	スナチリュウツツキ	Nothpecker
淡红萤虾	淡紅螢蝦	ウスベニホタルエビ	Pink Landlight Shrimp
陆萤虾	陸螢蝦	オカホタルエビ	Landlight Shrimp
美声歌鸮	美聲歌鴞	ビセイウタイズク	Hymstrigian
泡歌鸮	泡沫歌鴞	アワウタイズク	Amstrigian
蓄领蜥	重襟蜥蜴	ツメコミエリトカゲ	Rufflizard
燐炎领蜥	燐炎傘蜥	リンエンエリトカゲ	Azure Rufflizard
火焰领蜥	火焰傘蜥	ホムラエリトカゲ	Ember Rufflizard
清腐虫	清道夫蟲	ノベムシ	Pallbug
足迹蜥蜴	足跡蜥蜴	アシアトノコシ	Tracktail Lizard
皇帝蚱蜢	皇帝蚱蜢	皇帝バッタ	Emperor Hopper
暴君蚱蜢	暴君蚱蜢	暴君バッタ	Tyrant Hopper
大独角仙	大獨角仙	ドスヘラクレス	Hercudrome
金色独角仙	金色獨角仙	ゴールデンヘラクレス	Gold Hercudrome
虹色大独角仙	虹色大獨角仙	虹色ドスヘラクレス	Prism Hercudrome
瑰宝金龟子	瑰寶金龜	プレミアジュエルコガネ	Regal Jewel Scarab
宝石金龟子	寶石金龜	ジュエルコガネ	Jewel Scarab
霞雾蜘蛛	霞霧女郎	カスミジョロウ	Vaporonid
预兆蜻蜓	預兆蜻蜓	キザシヤンマ	Omenfly
凝目鼠	凝視鼠	ジロジロ	Gawkie
花妖猩	花猩猩	ハナショウジョウ	Mimiphyta
绯水攀鲈	緋水攀鱸	ヒミズキノボリウオ	Scarlet Joyperch
闪灯鱼	眨眼魚	マタタキウオ	Blink Angler
森盏蟹	森杯蟹	モリサカズキガニ	Florashell Crab
古盏蟹	古杯蟹	コットウサカズキガニ	Curioshell Crab
沼盏蟹	沼杯蟹	ヌマサカズキガニ	Crudeshell Crab
隐遁壁虎	隱遁壁虎	クラマシゲッコー	Smokeshroud Gekko
黑暗壁虎	黑暗蜥蜴	クラヤミゲッコー	Gloom Gekko
绚烂翼鸟	絢爛翼鳥	ケンランプテルス	Dazzlewing
沙野流星	沙之流星	スナノリュウセイ	Sandstar
鳞片蝙蝠	鱗片蝙蝠	ウロコウモリ	Scalebat
望花水母	煙火水母	ハナミアゲ	Sparklerjelly
大望花水母	大輪煙火水母	タイリンハナミアゲ	Peony Sparklerjelly
稚狱蛸	努亞亞	ヌ・ヤヤ	Nu Yaya
虚幼	虛幼	シウシウ	Xu Yo
空涡虫	空渦蟲	ソラナリア	Solanaria
虚无动	虛無通	キョムトン	Pillopod
大虚无动	虛無咚	ギョムドン	Gillopod
花瓣虫	花開蟲	ハナヒラムシ	Petalfly
柔毛秧鸡	柔毛秧雞	フワフワクイナ	Downy Crake
端丽翼鸟	端麗翼鳥	オメカシプテルス	Dapperwing
星屑鱼	星屑魚	ホシクズイクチス	Starduster
橄榄弓鳍鱼	橄欖弓鰭魚	カンランアミア	Virid Bowfin
四叶蜉蝣	四葉蜉蝣	ヨツバカゲロウ	Quatreflies
千羽蝶	千羽蝶	センバチョウ	Myriads
坚硬竹荚鱼	堅硬竹筴魚	キレアジ	Whetfish
刺身鱼	刺身魚	サシミウオ	Sushifish
贪吃金枪鱼	貪吃鮪魚	大食いマグロ	Gastronome Tuna
咬鱼	咬魚	ガライーバ	Gajau
小金鱼	小金魚	小金魚	Goldenfry
黄金鱼	黃金魚	黄金魚	Goldenfish
白金鱼	白金魚	白金魚	Platinumfish
破裂龙鱼	破裂龍魚	ハレツアロワナ	Burst Arowana
爆裂龙鱼	爆裂龍魚	バクレツアロワナ	Bomb Arowana
火药金鱼	火藥金魚	バクヤクデメキン	Gunpowderfish
大王旗鱼	大王旗魚	ダイオウカジキ	Speartuna
化石腔棘鱼	化石湯釜	カセキカンス	Petricanths
入道乌贼	入道烏賊	ニュウドウイカ	Goliath Squid
玻璃异形鱼	玻璃異形魚	グラスパレクス	Glass Parexus
盾章菊螺	盾牌石螺	エスカナイト	Escunite
瑰丽盾章菊螺	瑰麗盾牌石螺	グランドエスカナイト	Grand Escunite
大珍鲈	大鰺鱸	ドストレバリーパーチ	Great Trevally
带卵弓鳍鱼	帶卵弓鰭魚	コモチアミア	Gravid Bowfin
盲鲈	盲鱸	ブラインドパーチ	Blind Perch
